Column1,A-0099,A-20,A-Beaver,A-NF,A-PB,A-R2,A-S2,A-WB,B-GS,G-Muris
A-0099,0,6109,6119,6101,6134,6132,6096,6182,5155,4441
A-20,6002,0,6159,6104,6129,6095,6108,6201,5017,4304
A-Beaver,5995,6121,0,6093,6187,6128,6129,6260,4942,4252
A-NF,6002,6113,6123,0,6159,6125,6132,6190,4983,4286
A-PB,6011,6104,6200,6127,0,6155,6142,6246,4965,4271
A-R2,6002,6084,6142,6089,6154,0,6127,6220,4979,4269
A-S2,5992,6108,6188,6130,6164,6165,0,6215,5022,4323
A-WB,5992,6093,6189,6080,6177,6138,6076,0,4939,4199
B-GS,4606,4621,4542,4616,4678,4639,4607,4619,0,3756
G-Muris,3769,3775,3770,3771,3781,3784,3804,3776,3766,0
